pdf_file_name,block_coverage,is corupted
pdftc_010k_0111.xml,7.703733932,
pdftc_010k_1230.xml,7.703733932,
pdftc_010k_0778.xml,7.706182412,
pdftc_010k_1195.xml,7.706182412,
pdftc_010k_0318.xml,7.707814732,
pdftc_010k_1211.xml,7.711079372,
pdftc_010k_1214.xml,7.711079372,
pdftc_010k_1227.xml,7.711079372,
pdftc_010k_0338.xml,7.712711691,
pdftc_010k_1199.xml,7.712711691,
pdftc_010k_1244.xml,7.712711691,
pdftc_010k_0351.xml,7.713527851,
pdftc_010k_0328.xml,7.714344011,
pdftc_010k_0336.xml,7.714344011,
pdftc_010k_0352.xml,7.714344011,
pdftc_010k_0339.xml,7.715160171,
pdftc_010k_0337.xml,7.715976331,
pdftc_010k_0355.xml,7.715976331,
pdftc_010k_0389.xml,7.715976331,
pdftc_010k_0414.xml,7.715976331,
pdftc_010k_0308.xml,7.716792491,
pdftc_010k_0342.xml,7.716792491,
pdftc_010k_0359.xml,7.716792491,
pdftc_010k_0384.xml,7.716792491,
pdftc_010k_1225.xml,7.716792491,
pdftc_010k_0341.xml,7.717608651,
pdftc_010k_0366.xml,7.717608651,
pdftc_010k_1222.xml,7.717608651,
pdftc_010k_0321.xml,7.718424811,
pdftc_010k_0358.xml,7.718424811,
pdftc_010k_0317.xml,7.719240971,
pdftc_010k_0326.xml,7.719240971,
pdftc_010k_0312.xml,7.720057131,
pdftc_010k_0361.xml,7.720057131,
pdftc_010k_0309.xml,7.720873291,
pdftc_010k_0319.xml,7.720873291,
pdftc_010k_1245.xml,7.720873291,
pdftc_010k_1276.xml,7.720873291,
pdftc_010k_0311.xml,7.721689451,
pdftc_010k_1215.xml,7.721689451,
pdftc_010k_1226.xml,7.721689451,
pdftc_010k_0276.xml,7.722505611,
pdftc_010k_0322.xml,7.722505611,
pdftc_010k_0324.xml,7.723321771,
pdftc_010k_0334.xml,7.723321771,
pdftc_010k_1281.xml,7.723321771,
pdftc_010k_0316.xml,7.724137931,
pdftc_010k_0320.xml,7.724954091,
pdftc_010k_0314.xml,7.728218731,
pdftc_100k_0049.xml,7.728218731,
pdftc_010k_0329.xml,7.729034891,
pdftc_010k_0367.xml,7.729034891,
pdftc_010k_0373.xml,7.729034891,
pdftc_010k_1198.xml,7.729034891,
pdftc_010k_1285.xml,7.729034891,
pdftc_010k_0362.xml,7.729851051,
pdftc_010k_1231.xml,7.729851051,
pdftc_010k_0357.xml,7.730667211,
pdftc_010k_1220.xml,7.730667211,
pdftc_010k_1224.xml,7.730667211,
pdftc_010k_0347.xml,7.732299531,
pdftc_mozilla_0052.xml,7.733115691,
pdftc_010k_0343.xml,7.733931851,
pdftc_010k_0379.xml,7.733931851,
